Structure du canal;Emplacement;Section du canal;Type de bassin;Point Début;_coordonnées du point début_latitude;_coordonnées du point début_longitude;kdt;Point final;_coordonnées du point final_latitude;_coordonnées du point final_longitude
Maconné;Surface recouvert;Rectangulaire;;aval;-4,3913575;15,3480117;"-4.3913821 15.3480072 300.9000244140625 1.138;-4.39136 15.3480221 300.9000244140625 1.783;-4.391393 15.3480372 300.9000244140625 1.736;-4.3914276 15.3480281 300.9000244140625 1.461;-4.3914544 15.3480232 310.065 1.389;-4.3914812 15.3480303 311.009 1.414;-4.3915066 15.3480436 300.9000244140625 1.457;-4.3915484 15.3480429 308.378 1.469;-4.3916033 15.348037 307.231 1.382;-4.3916477 15.3480448 306.377 1.38;-4.3916716 15.3480387 306.262 1.374;-4.3916894 15.348039 306.693 1.434;-4.3917322 15.3480445 306.75 1.406;-4.3917867 15.3480515 306.753 1.399;-4.3918289 15.3480666 307.946 1.362;-4.3918876 15.348062 307.241 1.353;-4.3919376 15.348072 307.789 1.386;-4.3919898 15.3480879 307.162 1.311;-4.3920304 15.3480802 306.186 1.293;-4.3920693 15.3480711 306.484 1.358;-4.3921218 15.3480505 306.29 1.45;-4.3921693 15.3480397 306.292 1.535;-4.3922081 15.3480546 305.933 1.455;-4.392237 15.3480622 307.795 1.57;-4.3922704 15.3480908 310.944 1.255;-4.3923068 15.3481085 309.139 1.404;-4.392348 15.3481143 305.522 1.459;-4.3923616 15.348117 306.462 1.6;-4.3924474 15.3481335 305.744 1.49;-4.3925063 15.3481275 304.44 1.402;-4.3925584 15.3481282 303.663 1.276;-4.3926013 15.3481457 304.939 1.279;-4.3926506 15.3481573 305.494 1.32;-4.3927049 15.3481706 305.187 1.358;-4.3927497 15.3481864 305.706 1.381;-4.3927846 15.3481866 306.151 1.397;-4.392824 15.3481876 307.237 1.345;-4.3928828 15.3481944 308.529 1.523;-4.3929145 15.3481874 312.689 1.451;-4.3929559 15.3482033 310.631 1.371;-4.3930083 15.3482021 309.986 1.4;-4.393069 15.3482085 309.507 1.408;-4.3931136 15.3482079 308.629 1.361;-4.3931568 15.3482085 308.348 1.326;-4.3932094 15.34821 307.912 1.317;-4.3932561 15.348211 308.103 1.295;-4.3933013 15.3482192 307.111 1.277;-4.3933543 15.348223 307.97 1.249;-4.3933883 15.3482282 307.483 1.272;-4.3934296 15.3482272 308.348 1.303;-4.393504 15.3482451 310.144 1.26;-4.3935448 15.3482413 310.031 1.226";amont;-4,393546;15,348235
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3902788;15,3468321;"-4.3904168 15.3453626 304.3000183105469 5.071;-4.3904311 15.3453825 304.3000183105469 4.288;-4.39045 15.3454067 304.3000183105469 3.785;-4.3904357 15.345446 304.3000183105469 5.198;-4.3904128 15.3454856 304.3000183105469 5.137;-4.3903852 15.345528 304.3000183105469 4.779;-4.3903482 15.3455547 304.3000183105469 3.283;-4.3903206 15.3455706 304.3000183105469 2.485;-4.3903213 15.3456248 304.3000183105469 2.6;-4.390325 15.3456732 304.3000183105469 3.05;-4.3903525 15.3457161 304.3000183105469 2.787;-4.3903463 15.3457707 304.3000183105469 2.311;-4.3903401 15.3458106 304.3000183105469 1.883;-4.3903384 15.3458444 304.3000183105469 1.811;-4.3903317 15.3458898 304.3000183105469 1.755;-4.3903299 15.3459411 304.3000183105469 1.684;-4.3903289 15.3459881 304.3000183105469 1.688;-4.390319 15.3460294 304.3000183105469 1.531;-4.3903162 15.3460685 304.3000183105469 1.525;-4.3903083 15.3461124 304.3000183105469 1.546;-4.3902936 15.3461579 304.3000183105469 1.69;-4.3902887 15.3462112 304.3000183105469 1.752;-4.3902833 15.3462606 304.3000183105469 1.873;-4.3902794 15.3463069 304.3000183105469 1.894;-4.390277 15.3463556 304.3000183105469 1.849;-4.3902826 15.3464074 304.3000183105469 1.721;-4.390293 15.3464666 304.3000183105469 1.683;-4.3903042 15.3465136 304.3000183105469 1.395;-4.3904479 15.3454362 304.3000183105469 9.955;-4.390337 15.3466132 304.3000183105469 0.57;-4.3903074 15.3466414 304.3000183105469 1.645;-4.3902858 15.3466759 304.3000183105469 1.106;-4.390265 15.3467853 304.3000183105469 2.293;-4.3902624 15.3468249 304.3000183105469 2.29;-4.3902801 15.3468372 304.3000183105469 1.632";aval;-4,3903634;15,3468681
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3935313;15,3482208;"-4.3935751 15.348237 310.911 1.486;-4.3935942 15.3482618 310.116 1.58;-4.3936073 15.348252 309.601 1.424;-4.3936154 15.3482134 309.288 1.288;-4.3936217 15.3481612 308.994 1.383;-4.3936286 15.3481077 309.541 1.454;-4.3935313 15.3482208 336.959 0.661;-4.3935745 15.3479942 305.15 6.537;-4.3936056 15.3479718 309.485 1.916;-4.3936301 15.3479365 310.218 1.538;-4.393648 15.3478368 308.697 2.28;-4.3936498 15.3477933 309.641 2.332;-4.3936622 15.347765 311.049 2.085;-4.3936708 15.3477227 311.106 1.426;-4.3936719 15.3476792 311.54 1.373;-4.393664 15.3476419 311.718 1.322;-4.3936634 15.3476086 312.096 1.343;-4.3936555 15.347563 310.238 1.46;-4.3936737 15.3474674 310.503 1.42;-4.3936786 15.3474258 312.674 1.424;-4.3936796 15.3473877 312.515 1.426;-4.3936772 15.3473537 311.119 1.43;-4.3936798 15.3473107 311.126 1.395;-4.3936867 15.3472705 311.195 1.377;-4.393687 15.3472306 311.968 1.412;-4.3937058 15.3471848 312.182 1.468;-4.3937191 15.347142 312.907 1.489;-4.3937211 15.3470868 312.74 1.472;-4.3937258 15.3470417 313.844 1.381;-4.3937355 15.3469932 314.017 1.433;-4.3937357 15.346962 313.369 1.392;-4.3937323 15.3468858 315.144 1.467;-4.3937248 15.346835 315.718 1.545;-4.393722 15.3467899 312.758 1.605;-4.3937068 15.3467583 309.962 1.538";amont;-4,3936923;15,3473466
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3937259;15,34675;"-4.3937112 15.3468464 304.0 1.203;-4.3936966 15.3467584 304.0 1.878;-4.3936654 15.3466983 304.0 2.034;-4.3936216 15.346654 304.0 1.753;-4.3935928 15.3466116 304.0 1.385;-4.3935696 15.346574 304.0 1.37;-4.3935172 15.3465452 304.0 1.352;-4.3934762 15.3465097 304.0 1.325;-4.3934382 15.3464824 304.0 1.29;-4.393393 15.3464705 304.0 1.255;-4.3933519 15.3464704 304.0 1.223;-4.39332 15.3464338 304.0 1.233;-4.3932846 15.3464008 304.0 1.2;-4.3932501 15.3463792 304.0 1.214;-4.3932064 15.3463529 304.0 1.237;-4.3931585 15.3463323 304.0 1.21;-4.393123 15.3463116 304.0 1.221;-4.3930924 15.3462828 304.0 1.214;-4.393061 15.3462587 304.0 1.229;-4.3930192 15.3462394 304.0 1.246;-4.3929738 15.3462218 304.0 1.253;-4.3929269 15.3461928 304.0 1.331;-4.3928911 15.3461664 304.0 1.306;-4.3928458 15.3461417 304.0 1.275;-4.3928086 15.3461102 304.0 1.33;-4.3927579 15.3460838 304.0 1.384;-4.3927009 15.3460766 304.0 1.243;-4.392659 15.3460541 304.0 1.242;-4.3925974 15.3460413 304.0 1.365;-4.3925814 15.3460288 304.0 1.308;-4.3925356 15.3460068 304.0 1.303;-4.3924694 15.3459927 302.4000244140625 36.214;-4.3923434 15.3458931 302.4000244140625 1.423;-4.3923004 15.3458596 302.4000244140625 1.409;-4.3922552 15.3458306 302.4000244140625 1.333;-4.3922143 15.3458151 302.4000244140625 1.306;-4.3921712 15.3457999 302.4000244140625 1.278;-4.3921183 15.3457647 302.4000244140625 1.627";aval;-4,3921154;15,3457826
Maconné;Surface recouvert;Rectangulaire;;aval;-4,3921022;15,3457975;"-4.3920743 15.3457566 303.3000183105469 1.272;-4.3920193 15.345715 303.3000183105469 1.902;-4.3919734 15.345699 303.3000183105469 2.072;-4.3919339 15.3456726 303.3000183105469 1.712;-4.3919052 15.3456441 303.3000183105469 1.384;-4.3918601 15.3456316 303.3000183105469 1.357;-4.3918187 15.3456106 303.3000183105469 1.322;-4.3917613 15.3455915 303.3000183105469 1.307;-4.3917049 15.3455759 303.3000183105469 1.611;-4.3916853 15.3455711 303.3000183105469 1.229;-4.391657 15.3455358 303.3000183105469 1.276;-4.3916262 15.3454968 303.3000183105469 1.334;-4.3915805 15.3454659 303.3000183105469 1.361;-4.3915413 15.3454569 303.3000183105469 1.377;-4.3915108 15.3454318 303.3000183105469 1.354;-4.3914621 15.345431 303.3000183105469 1.501;-4.3913609 15.3454164 303.3000183105469 1.354;-4.3913134 15.3453957 303.3000183105469 1.257;-4.391261 15.3453876 303.3000183105469 1.276;-4.391166 15.3453727 303.3000183105469 1.207;-4.3910799 15.3453518 303.3000183105469 1.162;-4.391043 15.3453383 303.3000183105469 1.201;-4.3909978 15.3453345 303.3000183105469 1.247;-4.3909539 15.3453228 303.3000183105469 1.267;-4.3909295 15.3453276 303.3000183105469 1.306;-4.3908809 15.3453236 303.3000183105469 1.35;-4.3908352 15.3453214 303.3000183105469 1.452;-4.3907858 15.3453237 303.3000183105469 1.66;-4.390736 15.3453127 303.3000183105469 1.946;-4.3906895 15.3452928 303.3000183105469 1.965;-4.3906191 15.3453021 303.3000183105469 2.103;-4.3905969 15.3453141 303.3000183105469 1.688;-4.3905565 15.3453003 303.3000183105469 1.66;-4.3905208 15.3452863 303.3000183105469 1.454";amont;-4,3904934;15,345298
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3853578;15,3602965;"-4.3900784 15.3584975 294.233 8.011;-4.3900015 15.358481 293.559 7.815";aval;-4,3898926;15,3585668
Maconné;Surface ouvert;Rectangulaire;;amont;-4,390183;15,3582271;"-4.3915658 15.3626862 299.888 7.378;-4.391566 15.3626859 299.888 7.311;-4.3915655 15.362685 299.888 6.255;-4.3915724 15.3626775 299.617 6.595";aval;-4,3915549;15,3627318
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3882506;15,3450222;"-4.3882261 15.345132 302.8000183105469 14.915; -4.3882301 15.3451147 302.8000183105469 7.98; -4.3882276 15.3451374 302.8000183105469 8.061; -4.3882106 15.345179 302.8000183105469 8.529; -4.3882065 15.3452096 302.8000183105469 7.979; -4.388212 15.3452982 303.6000061035156 7.504; -4.3882043 15.3454961 303.6000061035156 6.696; -4.388171 15.3455553 301.8000183105469 7.892; -4.3881985 15.3457044 301.9000244140625 9.404; -4.3881612 15.3458058 301.9000244140625 10.027; -4.3881521 15.3460599 301.8000183105469 7.692; -4.3880701 15.3465453 301.4000244140625 7.589; -4.3880702 15.3465518 301.8000183105469 7.558";aval;-4,3880846;15,3465044
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3880206;15,3470998;"-4.3880346 15.3472437 301.20001220703125 15.0; -4.3880479 15.3472451 301.3000183105469 12.772; -4.388027 15.3473154 301.20001220703125 11.484; -4.388014 15.3474092 301.8000183105469 11.463; -4.3880001 15.3474216 301.8000183105469 10.478; -4.3879931 15.3474484 308.0 8.042; -4.3879767 15.3476015 301.20001220703125 8.0; -4.387963 15.347751 301.20001220703125 7.674; -4.3879432 15.3478536 296.8000183105469 8.189; -4.3879445 15.3478937 296.8000183105469 8.261; -4.3879258 15.348026 301.5 9.269; -4.3879158 15.3481002 301.9000244140625 8.137; -4.3879616 15.3482271 301.5 9.429; -4.3879223 15.3482579 302.3000183105469 9.084; -4.3878956 15.3483064 301.9000244140625 8.412; -4.3878839 15.3483108 301.9000244140625 8.321; -4.3878441 15.3483607 301.9000244140625 8.018; -4.3878539 15.3484719 301.9000244140625 7.163; -4.387866 15.3485511 301.9000244140625 8.224; -4.3878565 15.3485725 301.5 8.638; -4.3878426 15.3486145 301.9000244140625 8.049; -4.387844 15.3486618 302.3000183105469 7.627; -4.3878267 15.3487198 302.3000183105469 7.925; -4.3877964 15.3488259 302.3000183105469 8.563; -4.3877747 15.3488654 302.3000183105469 8.729; -4.38775 15.3489486 302.3000183105469 8.938; -4.3877075 15.3490245 302.3000183105469 9.816; -4.3876947 15.3491029 302.3000183105469 8.817; -4.3876584 15.3491833 302.0 10.317; -4.3876202 15.3492608 302.0 10.736; -4.3875989 15.3493599 302.0 9.181; -4.3875848 15.3494367 302.0 8.354; -4.3875642 15.3495043 302.3000183105469 8.666; -4.3875771 15.3495414 302.3000183105469 8.736; -4.3875765 15.3496919 299.70001220703125 9.501; -4.3875472 15.3497947 299.70001220703125 8.184; -4.3875406 15.3499759 299.70001220703125 8.386; -4.387663 15.3499915 299.70001220703125 9.901; -4.3876699 15.3499729 299.70001220703125 10.833; -4.3875895 15.3500769 299.70001220703125 8.795; -4.3875928 15.3500965 299.70001220703125 8.738; -4.3875886 15.3501407 299.70001220703125 8.662; -4.387582 15.3501617 299.70001220703125 8.611; -4.3875489 15.3502149 299.70001220703125 9.174; -4.3875335 15.3502622 299.70001220703125 9.254; -4.3875386 15.3503211 299.70001220703125 9.47; -4.3875342 15.3503897 299.70001220703125 8.785; -4.3875289 15.3503775 299.70001220703125 8.148";amont;-4,3875134;15,3503647
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3875359;15,3503666;"-4.3875131 15.3503602 299.70001220703125 15.0; -4.3875134 15.3503385 299.70001220703125 13.745; -4.3875157 15.3503509 299.70001220703125 11.897";aval;-4,3874823;15,3503293
