Structure du canal;Emplacement;Section du canal;Type de bassin;Point Début;_coordonnées du point début_latitude;_coordonnées du point début_longitude;kdt;Point final;_coordonnées du point final_latitude;_coordonnées du point final_longitude
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3874932;15,3503637;"-4.3875168 15.3503209 300.70001220703125 14.205; -4.3874948 15.3503372 300.70001220703125 8.923; -4.3874753 15.3503326 300.70001220703125 8.598; -4.3874374 15.3503324 300.70001220703125 8.607; -4.3873777 15.3503411 300.70001220703125 8.481; -4.3873152 15.3503538 299.70001220703125 7.243; -4.3872413 15.3503285 301.9000244140625 8.446; -4.3871797 15.3502855 300.70001220703125 7.749; -4.3870984 15.350297 299.70001220703125 7.344; -4.3870071 15.3502948 301.9000244140625 7.219; -4.3868786 15.3503324 299.70001220703125 13.024; -4.3868791 15.3502635 299.70001220703125 10.673; -4.3867621 15.3502182 299.70001220703125 7.105; -4.3864828 15.3502221 299.70001220703125 6.121; -4.3864201 15.3502159 299.70001220703125 6.133; -4.3863283 15.3502042 299.70001220703125 6.151; -4.3862026 15.3501918 298.9000244140625 6.365; -4.386194 15.3503443 296.8000183105469 8.63; -4.38607 15.3503396 298.5 11.106; -4.3859559 15.3501779 298.9000244140625 6.839; -4.3858886 15.3501721 298.9000244140625 6.503; -4.3857638 15.3501757 298.9000244140625 6.322; -4.3854912 15.350147 298.5 5.729; -4.3852804 15.3501216 298.5 6.178; -4.385094 15.3500474 298.5 6.191; -4.3850823 15.3500398 298.5 6.286";aval;-4,3852371;15,3501373
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3849048;15,3500867;"-4.3849009 15.3500934 298.5 6.761; -4.3849009 15.3500934 298.5 6.052; -4.3847835 15.3500756 298.5 5.162; -4.3845856 15.3500817 298.5 5.262; -4.3844266 15.3500684 298.5 5.674; -4.3842655 15.3500835 298.5 6.139; -4.3841311 15.3500609 298.70001220703125 5.457; -4.3840701 15.3500748 298.70001220703125 6.371; -4.3839537 15.3500606 298.70001220703125 6.875; -4.3838682 15.3500718 298.70001220703125 6.251; -4.383713 15.3500729 298.70001220703125 7.038; -4.383607 15.3500528 298.70001220703125 7.041";amont;-4,383541;15,350035
Maconné;Surface recouvert;Rectangulaire;;aval;-4,3835404;15,3500347;"-4.3835238 15.3500053 298.70001220703125 10.331; -4.3834643 15.3499574 298.70001220703125 9.159";amont;-4,3835281;15,3500205
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3834854;15,349919;"-4.3833822 15.3499303 298.70001220703125 15.0; -4.3833841 15.3498699 298.70001220703125 12.667; -4.3833641 15.3498215 298.4000244140625 11.738; -4.3833485 15.3497731 298.4000244140625 11.299; -4.3833263 15.3497404 298.4000244140625 11.272; -4.3833555 15.349673 298.4000244140625 10.23; -4.383361 15.3494873 299.6000061035156 5.957; -4.3833391 15.3493847 299.6000061035156 5.48; -4.3833205 15.3493121 299.6000061035156 5.168; -4.3832952 15.3492427 299.6000061035156 5.271; -4.3832673 15.349145 299.6000061035156 5.179; -4.3832529 15.3490735 299.6000061035156 5.152; -4.3832303 15.3489778 299.6000061035156 5.509; -4.3832113 15.3488742 299.6000061035156 5.349; -4.3831325 15.3485615 299.6000061035156 5.402; -4.3830882 15.3484192 299.6000061035156 5.203; -4.383038 15.3483379 299.6000061035156 5.295; -4.3830098 15.3482672 299.6000061035156 5.812; -4.3829798 15.348117 299.6000061035156 5.487; -4.3829456 15.3480666 299.6000061035156 5.511; -4.3829241 15.3479899 299.6000061035156 5.49; -4.3828561 15.3477098 299.6000061035156 5.666; -4.382761 15.3473042 299.5 5.633";amont;-4,3828643;15,3472856
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3837953;15,3456313;"-4.3837831 15.3456472 299.8000183105469 8.529; -4.3837862 15.3456313 299.9000244140625 6.836; -4.383858 15.3455355 299.9000244140625 6.312; -4.3839142 15.3454675 299.9000244140625 5.277; -4.3839247 15.3454543 299.9000244140625 4.953; -4.3839856 15.3453426 299.9000244140625 4.968; -4.3839961 15.3452955 299.9000244140625 5.687; -4.3840478 15.3451812 299.9000244140625 23.162; -4.3840786 15.3451773 299.9000244140625 28.1; -4.3841018 15.3451796 299.9000244140625 22.5; -4.3841479 15.3451215 299.9000244140625 0.958; -4.3842873 15.3449375 299.9000244140625 7.982; -4.3843694 15.3448893 299.9000244140625 6.637; -4.3844958 15.3446957 300.0 5.673; -4.3845064 15.3446077 300.0 5.985; -4.3846334 15.3444591 300.0 5.171; -4.3847611 15.3443841 300.0 5.615; -4.3848422 15.3442946 301.20001220703125 3.368; -4.3848828 15.3441906 301.20001220703125 4.962; -4.3849356 15.3441247 301.20001220703125 5.224; -4.3849612 15.344057 301.0 5.335; -4.3849964 15.3439977 301.0 5.47; -4.3850534 15.3439874 301.0 5.48; -4.3850715 15.3439894 301.0 5.39";amont;-4,3850827;15,3440151
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3882562;15,345104;"-4.3882571 15.3450817 302.9000244140625 15.0; -4.3882629 15.3450576 303.6000061035156 10.585; -4.3882431 15.3450573 303.6000061035156 14.8; -4.3881439 15.3450376 303.6000061035156 9.571; -4.3880879 15.3450354 303.6000061035156 10.3; -4.3880338 15.3450624 302.20001220703125 7.585; -4.3879808 15.3450657 302.20001220703125 4.605; -4.3878958 15.3450314 302.20001220703125 7.533; -4.3878208 15.3449986 302.20001220703125 8.335; -4.3876638 15.3449918 302.20001220703125 7.703; -4.3875925 15.3449619 302.3000183105469 11.76; -4.3875395 15.3449672 302.4000244140625 11.827; -4.3874566 15.3449544 302.3000183105469 8.973; -4.3873659 15.3449054 302.3000183105469 6.512; -4.3872526 15.344931 302.3000183105469 3.753; -4.387153 15.3449055 302.3000183105469 8.88; -4.3870589 15.3448745 302.3000183105469 10.074; -4.3869366 15.3449707 302.0 5.426; -4.3868272 15.3449311 302.0 4.032; -4.3867346 15.3449192 302.9000244140625 5.422; -4.3866323 15.3448858 302.0 5.186; -4.3865815 15.3448915 302.0 4.201; -4.386503 15.3448684 302.0 4.952; -4.3864255 15.3448338 302.0 4.224; -4.3863413 15.3447969 303.4000244140625 7.317; -4.3861206 15.3447281 303.4000244140625 4.387; -4.386039 15.3446993 303.4000244140625 4.416; -4.3859481 15.3446505 303.4000244140625 4.527; -4.3858783 15.3445811 303.4000244140625 4.004; -4.3858527 15.3445529 301.0 6.153; -4.3857296 15.344458 301.1000061035156 6.952; -4.3856703 15.3444241 301.0 4.881; -4.3855787 15.3443921 301.1000061035156 4.665; -4.3855232 15.3443574 301.1000061035156 5.335; -4.3854588 15.3443065 301.0 5.731; -4.3854318 15.3442883 301.1000061035156 4.239; -4.3853703 15.3442553 301.1000061035156 7.474; -4.3853532 15.3442211 301.0 7.794; -4.3853317 15.3442003 301.0 6.933; -4.3852855 15.3441707 301.0 7.423; -4.3852645 15.3441587 301.0 6.974; -4.3852078 15.3441187 301.0 7.381; -4.3851605 15.3440745 301.0 7.125";aval;-4,3851163;15,3439907
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3904173;15,3453901;"-4.3904405 15.3453631 304.3000183105469 8.163;-4.3904401 15.3453632 303.70001220703125 11.026;-4.3904394 15.3453603 304.3000183105469 6.866;-4.390442 15.345362 304.3000183105469 5.701;-4.3904402 15.3453652 303.70001220703125 3.929;-4.3904226 15.3453687 303.70001220703125 4.452;-4.3903864 15.3453918 303.70001220703125 6.55;-4.3903771 15.345421 303.70001220703125 7.335;-4.3903746 15.345458 303.70001220703125 7.668;-4.3903547 15.3455086 303.70001220703125 7.19;-4.3903644 15.3455472 303.70001220703125 6.122;-4.3903705 15.3456071 303.70001220703125 4.968;-4.3903621 15.3456497 303.70001220703125 5.344;-4.3903676 15.3456666 303.70001220703125 6.325;-4.3903713 15.3457115 303.70001220703125 6.587;-4.3903778 15.3457199 303.70001220703125 6.665;-4.3903801 15.3457321 303.70001220703125 6.456;-4.3903793 15.3458187 303.70001220703125 6.108;-4.3903718 15.3458582 303.70001220703125 5.759;-4.3903704 15.3459013 303.70001220703125 6.056;-4.3903659 15.3459194 303.70001220703125 7.051;-4.3903464 15.3459575 303.70001220703125 7.474;-4.3903306 15.34599 303.70001220703125 6.521;-4.3903224 15.3460135 303.70001220703125 5.838;-4.3903146 15.3460344 303.70001220703125 4.983;-4.3903098 15.3460563 303.70001220703125 4.529;-4.3902999 15.346076 303.70001220703125 4.08;-4.390293 15.3461182 302.6000061035156 3.918;-4.3902877 15.3461471 302.6000061035156 4.144;-4.3902844 15.3461935 302.6000061035156 4.771;-4.3902751 15.346215 302.6000061035156 5.024;-4.3902601 15.3462586 302.6000061035156 5.984;-4.390262 15.3462816 302.6000061035156 6.532;-4.390265 15.3463279 302.6000061035156 7.063;-4.3903462 15.3463869 302.6000061035156 6.633;-4.3903005 15.3464061 302.6000061035156 7.609;-4.3903011 15.3464087 302.6000061035156 10.846;-4.3902867 15.3464071 302.6000061035156 13.034;-4.3902813 15.3464688 302.6000061035156 11.682;-4.3902511 15.34652 302.6000061035156 7.044;-4.3902381 15.3465372 302.6000061035156 6.087;-4.3902414 15.3465701 302.6000061035156 5.951;-4.3902328 15.3465845 302.6000061035156 5.319;-4.3902481 15.3466034 302.6000061035156 5.652;-4.3902448 15.3466405 302.6000061035156 5.574;-4.3902419 15.3466571 303.0 5.306;-4.3902377 15.3466782 303.0 5.308;-4.3902377 15.346693 304.0 5.101;-4.3902351 15.3467147 304.0 5.155;-4.3902312 15.3467339 302.0 5.167;-4.3902241 15.3467536 302.0 5.252;-4.3902182 15.3467768 301.0 5.224;-4.3902147 15.3467919 301.0 5.139;-4.3902155 15.3468178 302.3000183105469 4.701";aval;-4,390241;15,3468797
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3896796;15,3494084;"-4.3896751 15.3494337 300.9000244140625 9.439;-4.3896789 15.3494282 300.9000244140625 7.101;-4.3896645 15.3494209 300.9000244140625 21.997;-4.3896504 15.3494194 300.9000244140625 8.482;-4.389597 15.3494188 300.9000244140625 8.944;-4.3895671 15.349416 300.9000244140625 8.879;-4.3895147 15.3494185 300.9000244140625 8.563;-4.3894644 15.3494232 300.9000244140625 8.224;-4.3894427 15.3494245 300.9000244140625 8.188;-4.3893948 15.3494237 300.9000244140625 5.328;-4.3893434 15.3494153 300.9000244140625 4.831;-4.3893246 15.3494078 300.9000244140625 4.69;-4.3892723 15.3494011 300.9000244140625 4.482;-4.389245 15.3494029 300.9000244140625 4.711;-4.3891901 15.3493924 301.5 5.044;-4.3891635 15.3493912 301.5 5.851;-4.3891075 15.3493888 301.5 7.271;-4.3890824 15.3493906 301.5 7.651;-4.3890297 15.3493675 301.5 7.762;-4.3890073 15.3493625 301.5 6.589;-4.3889689 15.3493526 301.5 5.646;-4.388931 15.3493568 301.8000183105469 4.043;-4.3888791 15.3493679 301.5 6.087;-4.3888511 15.3493693 301.5 7.118;-4.3887987 15.3493739 301.5 8.374;-4.3887421 15.3493561 301.5 7.306;-4.3887182 15.3493523 302.0 5.172;-4.3886665 15.3493393 302.0 4.059;-4.3886422 15.3493338 302.0 4.244;-4.3885907 15.3493278 302.0 4.41;-4.3885665 15.3493275 302.0 4.619;-4.388542 15.3493288 302.0 3.995;-4.3884873 15.3493345 302.0 3.876;-4.3884635 15.3493323 302.0 4.144;-4.3884084 15.349338 302.0 4.929;-4.3883262 15.3493451 302.0 6.554;-4.3882977 15.3493404 302.0 7.199;-4.3882441 15.3493335 302.0 7.743;-4.3882163 15.3493317 302.0 7.783;-4.3881707 15.3493266 302.0 7.365;-4.3881512 15.3492953 302.0 5.829;-4.3881014 15.3492774 302.0 4.135;-4.3880758 15.3492731 302.0 4.304;-4.3880242 15.349262 302.0 4.789;-4.3879988 15.3492556 302.0 4.662;-4.387947 15.3492486 302.0 4.464;-4.3879223 15.3492474 302.0 4.674;-4.3878695 15.3492393 302.0 4.728;-4.3878208 15.3492316 302.0 4.743;-4.3877943 15.3491937 302.0 4.636";aval;-4,387864;15,3492122
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3883915;15,3450708;"-4.3883897 15.3450789 302.8000183105469 9.644;-4.3883838 15.3450666 302.8000183105469 5.376;-4.3883896 15.3450756 302.8000183105469 6.743;-4.3884429 15.3450571 302.9000244140625 5.794;-4.388477 15.3450557 302.9000244140625 5.669;-4.3884987 15.3450473 302.9000244140625 4.573;-4.3885498 15.3450485 302.9000244140625 4.732;-4.3886004 15.345035 302.9000244140625 6.223;-4.3886273 15.3450321 302.9000244140625 7.091;-4.3886505 15.3450229 302.8000183105469 7.893;-4.3887052 15.3450256 302.8000183105469 9.23;-4.3887486 15.3450884 302.8000183105469 7.29;-4.3887966 15.3450954 302.8000183105469 4.948;-4.3888495 15.3451113 302.8000183105469 5.059;-4.3888762 15.3451103 302.8000183105469 5.3;-4.3889418 15.3451301 302.8000183105469 4.461;-4.3889671 15.3451356 302.8000183105469 4.061;-4.3889908 15.3451338 302.8000183105469 4.117;-4.3890762 15.3451277 303.1000061035156 5.911;-4.3890954 15.3451276 303.1000061035156 6.67;-4.3891379 15.345122 303.1000061035156 7.781;-4.3891858 15.3451162 303.3000183105469 9.658;-4.389209 15.345105 303.3000183105469 9.84;-4.3892436 15.3451222 303.3000183105469 10.353;-4.3892336 15.3451627 303.3000183105469 8.187;-4.3892829 15.3451649 303.3000183105469 8.862;-4.3892965 15.3451735 303.3000183105469 8.569;-4.3893541 15.3451783 303.3000183105469 9.011;-4.3894053 15.3451669 303.3000183105469 8.291;-4.3894678 15.3451624 303.3000183105469 4.563;-4.3895251 15.3451739 303.3000183105469 4.401;-4.3895728 15.3451801 303.3000183105469 4.785;-4.3896195 15.3451921 303.3000183105469 4.238;-4.3896446 15.3451985 303.3000183105469 4.271;-4.3896677 15.3451983 303.3000183105469 4.394;-4.3896916 15.345211 303.3000183105469 4.568;-4.389716 15.3452107 303.3000183105469 4.627;-4.3897354 15.345215 303.3000183105469 4.567;-4.3897598 15.3452118 303.3000183105469 4.265;-4.3898025 15.3452128 303.3000183105469 4.462;-4.3898133 15.345226 303.3000183105469 4.507;-4.3898536 15.3452308 303.3000183105469 4.523;-4.3898877 15.3452307 303.3000183105469 4.771;-4.3899294 15.34523 303.3000183105469 4.719;-4.3899452 15.3452294 303.3000183105469 4.484;-4.3899736 15.3452345 303.3000183105469 4.393;-4.3899991 15.3452436 303.3000183105469 4.587;-4.390022 15.3452469 303.3000183105469 4.097;-4.3900743 15.3452561 308.0 4.015;-4.3900958 15.3452561 308.0 3.941;-4.3901538 15.3452602 308.0 4.342;-4.3902038 15.3452531 311.0 4.71;-4.3902523 15.3452611 311.0 4.213;-4.3902993 15.3452576 311.0 5.416;-4.3903226 15.3452576 310.0 6.043;-4.3903643 15.3452535 311.0 6.699;-4.390379 15.345267 311.0 6.629;-4.3903998 15.3452819 311.0 5.521";aval;-4,3903788;15,3452781
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3902394;15,3468329;"-4.3902404 15.346846 301.6000061035156 4.247;-4.3902389 15.3468426 302.0 4.057;-4.3902365 15.3468449 302.0 4.01;-4.3902279 15.3468388 303.0 3.791;-4.3902151 15.3468447 303.0 4.192;-4.3901725 15.3468344 302.0 4.728;-4.390118 15.346826 301.6000061035156 3.826;-4.3901151 15.3468232 301.6000061035156 5.001;-4.3901071 15.3468209 301.6000061035156 6.288;-4.3900796 15.3468113 301.6000061035156 5.008;-4.390039 15.3468145 301.6000061035156 4.389;-4.3899934 15.3468126 301.5 2.041;-4.3899879 15.3468141 301.5 2.984;-4.3899702 15.3468138 301.5 3.901;-4.3899523 15.3468131 301.5 4.437";aval;-4,3899331;15,3468516
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3881899;15,3465954;"-4.3881877 15.3465991 301.8000183105469 5.793;-4.3881899 15.3465954 305.20001220703125 4.912;-4.3881908 15.3466024 301.4000244140625 5.791;-4.3881039 15.3464415 301.4000244140625 87.6;-4.388165 15.3464772 301.4000244140625 155.336;-4.3881903 15.3464656 301.4000244140625 8.094;-4.3881941 15.3464311 301.4000244140625 8.857;-4.3881724 15.3463847 301.70001220703125 6.168;-4.3881552 15.3463351 301.8000183105469 7.422;-4.3881557 15.3462902 301.8000183105469 7.067;-4.3881523 15.3462358 301.8000183105469 7.835;-4.3881468 15.3462098 301.8000183105469 7.984;-4.388161 15.3461531 301.8000183105469 7.934;-4.3881557 15.3460981 301.8000183105469 8.083;-4.3881856 15.3460488 301.8000183105469 7.788;-4.3881862 15.3460042 301.8000183105469 8.013;-4.3881836 15.3459773 301.8000183105469 8.324;-4.3881956 15.3459548 301.8000183105469 8.466;-4.3882056 15.3459085 301.8000183105469 8.578;-4.3882032 15.3458843 301.8000183105469 8.785;-4.3882159 15.3458315 301.8000183105469 7.629;-4.3882267 15.3458091 301.8000183105469 7.359;-4.3882435 15.3457633 301.8000183105469 6.808;-4.388245 15.3457386 301.8000183105469 6.554;-4.3882592 15.3456838 301.8000183105469 5.857;-4.3882706 15.3456379 301.8000183105469 5.276;-4.3882696 15.3455924 301.8000183105469 5.758;-4.3882699 15.3455719 301.9000244140625 5.978;-4.3882696 15.3455466 301.9000244140625 6.459;-4.3882731 15.3455036 301.9000244140625 6.871;-4.3882799 15.3454725 301.9000244140625 6.394;-4.388279 15.345422 301.9000244140625 5.731;-4.3882804 15.3453906 301.9000244140625 5.624;-4.3882826 15.3453667 301.9000244140625 5.475;-4.3882846 15.345309 301.9000244140625 5.54;-4.3882866 15.3452816 301.9000244140625 5.623;-4.3882893 15.3452334 308.0 4.877;-4.3882918 15.3452071 301.9000244140625 4.607;-4.3883023 15.3451586 302.8000183105469 4.893;-4.3883033 15.3451344 302.8000183105469 4.869;-4.3883233 15.3451108 302.8000183105469 4.88;-4.3883374 15.3450948 302.8000183105469 4.649";aval;-4,3883718;15,3451092
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3914319;15,3451468;"-4.3913594 15.3451667 303.3000183105469 5.836;-4.3911381 15.345207 303.3000183105469 3.216;-4.390999 15.3451887 303.3000183105469 7.397;-4.3907876 15.3452211 303.3000183105469 5.146;-4.3906928 15.3452293 303.6000061035156 4.608;-4.3906729 15.3452264 303.6000061035156 5.959;-4.3906352 15.3452128 303.3000183105469 3.961";amont;-4,3906348;15,3452665
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3905835;15,3451695;"-4.3905793 15.3451683 304.1000061035156 4.0;-4.3904498 15.345154 304.1000061035156 4.0;-4.3902444 15.3451358 304.0 3.0;-4.3901357 15.3451027 304.0 3.768;-4.3900641 15.3451245 303.70001220703125 3.0;-4.390007 15.3451274 304.1000061035156 3.0";aval;-4,3899905;15,3450988
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3899518;15,3469859;"-4.3899267 15.3469924 301.6000061035156 9.752;-4.3899259 15.3469697 302.0 4.082;-4.389951 15.3469842 303.0 9.694;-4.3899478 15.347023 305.0 7.398;-4.3899165 15.3470568 303.0 15.994;-4.3899074 15.347074 303.0 11.32;-4.3899079 15.3470834 301.6000061035156 6.71;-4.389903 15.3471117 301.6000061035156 5.519;-4.3898959 15.3471333 301.6000061035156 5.981;-4.3898987 15.3471852 301.6000061035156 6.645;-4.3899021 15.3472138 301.6000061035156 6.07;-4.3899102 15.347257 301.6000061035156 5.327;-4.389911 15.3472794 301.6000061035156 5.2;-4.3899101 15.3473062 301.6000061035156 5.108;-4.3899039 15.3473313 301.6000061035156 4.914;-4.3899009 15.3473549 301.6000061035156 4.974;-4.3898917 15.3473848 301.6000061035156 4.9;-4.389877 15.3474324 301.6000061035156 3.272;-4.3898728 15.3474586 301.6000061035156 3.216;-4.3898662 15.3474847 301.6000061035156 3.448;-4.3898627 15.3475087 301.6000061035156 3.65;-4.3898554 15.3475612 301.5 4.241;-4.3898564 15.3475933 301.5 4.508;-4.3898498 15.3476493 301.5 4.439;-4.389846 15.3476823 301.5 4.74;-4.3898513 15.3477129 301.5 4.959;-4.3898408 15.3477647 301.5 5.687;-4.3898329 15.3477867 301.5 6.3;-4.3898319 15.3478144 301.5 6.91;-4.3898273 15.3478651 301.5 8.011;-4.3898244 15.3478861 301.5 8.601;-4.3898109 15.3479368 301.5 9.494;-4.3898186 15.34799 301.5 8.253;-4.3898104 15.3480222 301.5 5.872;-4.3898066 15.3480543 301.5 5.859;-4.3897877 15.3481203 301.5 6.006;-4.389785 15.3481503 301.5 6.018;-4.3897939 15.3482231 301.5 5.746;-4.3897868 15.3482564 301.5 5.829;-4.3897844 15.3483142 301.5 5.86;-4.3897903 15.3483395 301.5 5.537;-4.3897917 15.3483921 301.5 4.696;-4.3897925 15.3484156 301.5 4.65;-4.3897894 15.3484635 301.5 4.349;-4.389787 15.3484857 301.5 4.119;-4.3897749 15.3485596 301.5 4.442;-4.3897689 15.3485819 301.5 4.416;-4.3897668 15.3486319 301.5 4.224;-4.389767 15.3486572 301.5 4.48;-4.3897594 15.3487134 301.5 4.586;-4.3897514 15.3487386 301.5 4.613;-4.3897543 15.3487874 301.5 4.398;-4.3897497 15.3488167 301.5 4.602;-4.3897351 15.3488746 301.5 4.738;-4.3897306 15.3489009 301.5 4.781;-4.3897106 15.3489579 300.9000244140625 4.973;-4.3897137 15.3489865 300.9000244140625 4.958;-4.3897088 15.3490343 300.9000244140625 4.893;-4.3896997 15.3490646 300.9000244140625 4.719;-4.3897014 15.3490945 300.9000244140625 4.867;-4.3896986 15.3491518 300.9000244140625 4.87;-4.3896882 15.3491836 300.9000244140625 5.011;-4.3896791 15.3492164 300.9000244140625 5.846;-4.3896723 15.3492462 300.9000244140625 6.736;-4.3896827 15.3493123 300.9000244140625 7.227;-4.3896788 15.3493649 300.9000244140625 5.768;-4.3896582 15.3493831 300.9000244140625 5.106;-4.389657 15.3494131 300.9000244140625 5.06";aval;-4,3896783;15,3493656
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3899722;15,3450986;"-4.3899892 15.3451147 304.3000183105469 3.046;-4.3899502 15.3451137 304.3000183105469 3.3;-4.3898948 15.3451111 304.3000183105469 4.767";aval;-4,3898964;15,3450953
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3899306;15,3450852;"-4.3899308 15.3451444 307.1722467713777 23.0;-4.3899356 15.3450329 307.03076480288485 3.382;-4.3899562 15.3448787 306.981438566703 3.27;-4.3899965 15.3447237 303.4000244140625 3.53;-4.3900102 15.344564 303.4000244140625 3.0;-4.3899987 15.3442235 303.4000244140625 3.232";amont;-4,3900249;15,3442304
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3878188;15,3491513;"-4.3878198 15.3491738 302.0 3.826;-4.387819 15.349176 302.0 4.068;-4.3878135 15.3491575 302.0 4.688;-4.3878147 15.3491124 302.0 5.632;-4.3878273 15.349079 302.0 5.21;-4.3878308 15.3490444 302.0 4.49;-4.3878301 15.3490322 302.0 4.633;-4.3878402 15.3489983 302.0 4.749;-4.3878525 15.3489581 301.9000244140625 4.762;-4.3878653 15.348912 301.9000244140625 4.87;-4.3878893 15.3488657 302.3000183105469 4.328;-4.3879029 15.3488404 302.3000183105469 4.491;-4.387924 15.3487955 301.9000244140625 3.833;-4.3879289 15.348771 301.9000244140625 4.094;-4.3879422 15.3487207 301.9000244140625 4.675;-4.3879442 15.3486968 301.9000244140625 5.162;-4.3879463 15.3486741 301.9000244140625 5.076;-4.3879485 15.3486243 301.9000244140625 5.055;-4.3879492 15.3485747 301.9000244140625 4.958;-4.3879492 15.3485538 301.9000244140625 4.873;-4.3879564 15.3485053 301.9000244140625 4.604;-4.3879641 15.3484596 301.9000244140625 4.314;-4.3879788 15.3484321 301.9000244140625 4.06;-4.3879956 15.3483868 301.9000244140625 4.318;-4.388001 15.3483622 301.9000244140625 4.508;-4.3880032 15.3483178 303.0 4.834;-4.3880049 15.348291 303.0 4.528;-4.3880021 15.3482423 306.0 4.406;-4.388 15.3482219 306.0 4.157;-4.3880031 15.3481692 306.0 4.59;-4.3880109 15.3481167 305.0 5.175;-4.3880213 15.3480702 305.0 4.952;-4.3880172 15.3480257 306.0 4.535;-4.3880191 15.3480055 305.0 4.407;-4.3880255 15.347959 305.0 4.404;-4.3880225 15.3479144 304.0 4.68;-4.388018 15.3478874 304.0 4.967;-4.3880234 15.3478418 304.0 5.95;-4.3880294 15.3477936 305.0 5.387;-4.3880395 15.3477449 306.0 5.485;-4.3880549 15.3476987 306.0 4.77;-4.3880615 15.3476775 305.0 4.773;-4.3880624 15.3476359 306.0 4.442;-4.388063 15.3475935 308.0 4.65;-4.3880683 15.347549 307.0 4.721;-4.3880839 15.3475064 306.0 4.229;-4.388088 15.3474861 306.0 4.353;-4.3880829 15.3474371 306.0 5.209;-4.3880872 15.3473966 307.0 6.155;-4.3880816 15.3473482 306.0 6.398;-4.3880887 15.3473032 306.0 6.5;-4.3880928 15.3472625 305.0 6.741;-4.38809 15.3472162 304.0 6.371;-4.3880979 15.3471969 303.0 6.384;-4.3880951 15.3471712 303.0 6.568;-4.3881024 15.3471469 304.0 5.952;-4.3881114 15.3471546 305.0 4.119;-4.3881052 15.3470941 301.20001220703125 26.0;-4.3881681 15.3470977 301.20001220703125 7.398;-4.3881684 15.3471004 301.20001220703125 12.025;-4.388171 15.3470506 308.0 12.509;-4.3881747 15.3469885 308.0 8.041;-4.3881621 15.3469365 301.20001220703125 6.703;-4.3881544 15.3469145 301.20001220703125 7.604;-4.3881569 15.346865 301.20001220703125 8.817;-4.3881625 15.3468365 301.20001220703125 9.58";aval;-4,388175;15,346733
;;;;;;;;;;
Maconné;Enterré;Circulaire;;amont;-4,392368;15,3370217;"-4.3923914 15.3370244 303.09999999999997 1.8;-4.3924214 15.3370618 304.09999999999997 1.685;-4.3924334 15.3370903 304.5 1.35";aval;-4,392455;15,337085
